Domain,Date,SpamRate,DomainReputation,DkimSuccess,DmarcSuccess,SpfSuccess,InboundEncryption,spam_rate_change,volatility_7d,spam_rate_zscore,spam_rate_ma7
abccareerline.com,2024-11-15,0.009,MEDIUM,1.0,1.0,,1.0,,,,
abccareerline.com,2024-11-16,0.009,MEDIUM,1.0,1.0,,1.0,0.0,,,
abccareerline.com,2024-11-17,0.004,MEDIUM,1.0,1.0,,1.0,-0.5555555555555556,,,
abccareerline.com,2024-11-18,0.006,MEDIUM,1.0,1.0,,1.0,0.5,,,
abccareerline.com,2024-11-19,0.003,MEDIUM,1.0,1.0,,1.0,-0.5,,,
abccareerline.com,2024-11-20,0.006,MEDIUM,1.0,1.0,,1.0,1.0,,,
abccareerline.com,2024-11-21,0.01,MEDIUM,1.0,1.0,,1.0,0.6666666666666667,0.002690370836538197,,0.006714285714285714
abccareerline.com,2024-11-22,0.009,MEDIUM,1.0,1.0,,1.0,-0.10000000000000009,0.002690370836538197,,0.006714285714285714
abccareerline.com,2024-11-23,0.011,MEDIUM,1.0,1.0,,1.0,0.22222222222222232,0.003055050463303893,,0.007
abccareerline.com,2024-11-24,0.009,MEDIUM,1.0,1.0,,1.0,-0.18181818181818188,0.002811540841738192,,0.007714285714285714
abccareerline.com,2024-11-25,0.01,MEDIUM,1.0,1.0,,0.999,0.11111111111111116,0.002811540841738192,,0.008285714285714287
abccareerline.com,2024-11-26,0.004,MEDIUM,1.0,1.0,,1.0,-0.6,0.002507132682112035,,0.008428571428571428
abccareerline.com,2024-11-27,0.008,MEDIUM,1.0,1.0,,1.0,1.0,0.0022886885410853173,,0.008714285714285714
abccareerline.com,2024-11-28,0.003,MEDIUM,1.0,1.0,,1.0,-0.625,0.0030394235042348473,,0.007714285714285714
abccareerline.com,2024-11-29,0.006,MEDIUM,1.0,1.0,,1.0,1.0,0.0030394235042348473,,0.007285714285714285
abccareerline.com,2024-11-30,0.002,MEDIUM,1.0,1.0,,1.0,-0.6666666666666667,0.003109126351029606,,0.006
abccareerline.com,2024-12-01,0.003,MEDIUM,1.0,1.0,,1.0,0.5,0.00296808419852332,,0.0051428571428571435
abccareerline.com,2024-12-02,0.004,MEDIUM,1.0,1.0,,1.0,0.33333333333333326,0.0020586634591635536,,0.004285714285714286
abccareerline.com,2024-12-03,0.007,MEDIUM,1.0,1.0,,1.0,0.75,0.0022886885410853194,,0.004714285714285714
abccareerline.com,2024-12-04,0.002,MEDIUM,1.0,1.0,,1.0,-0.7142857142857143,0.0019518001458970697,,0.0038571428571428576
abccareerline.com,2024-12-05,0.002,MEDIUM,1.0,1.0,,1.0,0.0,0.0020586634591635545,,0.0037142857142857142
abccareerline.com,2024-12-06,0.004,MEDIUM,1.0,1.0,,1.0,1.0,0.0018126539343499353,,0.003428571428571429
abccareerline.com,2024-12-07,0.003,MEDIUM,1.0,1.0,,1.0,-0.25,0.0017182493859684532,,0.0035714285714285718
abccareerline.com,2024-12-08,0.003,MEDIUM,1.0,1.0,,1.0,0.0,0.0017182493859684532,,0.0035714285714285718
abccareerline.com,2024-12-09,0.006,MEDIUM,1.0,1.0,,1.0,1.0,0.0019518001458970697,,0.003857142857142857
abccareerline.com,2024-12-10,0.005,MEDIUM,1.0,1.0,,1.0,-0.16666666666666663,0.0015118578920369137,,0.0035714285714285718
abccareerline.com,2024-12-11,0.005,MEDIUM,1.0,1.0,,1.0,0.0,0.0014142135623730996,,0.004
abccareerline.com,2024-12-12,0.003,MEDIUM,1.0,1.0,,1.0,-0.4,0.0012149857925879168,,0.0041428571428571434
abccareerline.com,2024-12-13,0.004,MEDIUM,1.0,1.0,,1.0,0.33333333333333326,0.0012149857925879168,,0.0041428571428571434
abccareerline.com,2024-12-14,0.007,MEDIUM,1.0,1.0,,1.0,0.75,0.0014960264830861944,0.5235398293064382,0.004714285714285714
abccareerline.com,2024-12-15,0.006,MEDIUM,1.0,1.0,,1.0,-0.1428571428571429,0.0013451854182691015,0.20036738914750518,0.005142857142857143
abccareerline.com,2024-12-16,0.003,MEDIUM,1.0,1.0,,1.0,-0.5,0.0014960264830861942,-0.8677614206673185,0.004714285714285714
abccareerline.com,2024-12-17,0.006,MEDIUM,1.0,1.0,,1.0,1.0,0.001573591584938889,0.25600141242548236,0.004857142857142858
abccareerline.com,2024-12-18,0.004,MEDIUM,1.0,1.0,,1.0,-0.33333333333333337,0.0016035674514745493,-0.484925499784678,0.004714285714285714
abccareerline.com,2024-12-19,0.005,MEDIUM,1.0,1.0,,1.0,0.25,0.0014142135623730978,-0.12932260743404816,0.005
abccareerline.com,2024-12-20,0.006,MEDIUM,1.0,1.0,,1.0,0.19999999999999996,0.0013801311186847106,0.25864521486809666,0.005285714285714285
abccareerline.com,2024-12-21,0.006,MEDIUM,1.0,1.0,,1.0,0.0,0.0012149857925879146,0.32964390694568707,0.0051428571428571435
abccareerline.com,2024-12-22,0.005,MEDIUM,1.0,1.0,,1.0,-0.16666666666666663,0.001154700538379255,-0.0287561748740101,0.005
abccareerline.com,2024-12-23,0.006,MEDIUM,1.0,1.0,,1.0,0.19999999999999996,0.0007867957924694465,0.5391853070702114,0.0054285714285714284
abccareerline.com,2024-12-24,0.005,MEDIUM,1.0,1.0,,1.0,-0.16666666666666663,0.0007559289460184583,0.12359062500211045,0.005285714285714285
abccareerline.com,2024-12-25,0.002,MEDIUM,1.0,1.0,,1.0,-0.6,0.0014142135623730976,-1.4912834674762885,0.005
abccareerline.com,2024-12-26,0.006,MEDIUM,1.0,1.0,,1.0,2.0,0.001463850109422802,0.8453761306931545,0.0051428571428571435
abccareerline.com,2024-12-27,0.006,MEDIUM,1.0,1.0,,1.0,0.0,0.001463850109422802,0.9422075684480661,0.005142857142857143
abccareerline.com,2024-12-28,0.007,MEDIUM,1.0,1.0,,1.0,0.16666666666666674,0.001603567451474548,1.4527294939293152,0.005285714285714287
abccareerline.com,2024-12-29,0.009,MEDIUM,1.0,1.0,,1.0,0.2857142857142856,0.0021157009420498156,2.371548528755511,0.005857142857142857
abccareerline.com,2024-12-30,0.012,MEDIUM,1.0,1.0,,1.0,0.3333333333333335,0.003147183169877772,3.203204153122561,0.006714285714285714
abccareerline.com,2024-12-31,0.012,MEDIUM,1.0,1.0,,1.0,0.0,0.003592319850008055,2.6852522263384673,0.007714285714285714
abccareerline.com,2025-01-01,0.012,MEDIUM,1.0,1.0,,1.0,0.0,0.0028535691936340223,2.327633521457255,0.009142857142857144
abccareerline.com,2025-01-02,0.016,MEDIUM,1.0,1.0,,1.0,0.33333333333333326,0.003457221565416502,3.0310995138542243,0.010571428571428574
abccareerline.com,2025-01-03,0.018,MEDIUM,1.0,1.0,,1.0,0.125,0.0037733400639347633,2.956003094343483,0.012285714285714285
abccareerline.com,2025-01-04,0.013,MEDIUM,1.0,1.0,,1.0,-0.2777777777777778,0.0029680841985233125,1.5480746338060953,0.013142857142857142
abccareerline.com,2025-01-05,0.017,MEDIUM,1.0,1.0,,1.0,0.30769230769230793,0.0026276913640612106,2.2352798288699187,0.014285714285714287
abccareerline.com,2025-01-06,0.017,MEDIUM,1.0,1.0,,1.0,0.0,0.002581988897471604,2.0043492539329555,0.015000000000000001
abccareerline.com,2025-01-07,0.017,MEDIUM,1.0,1.0,,1.0,0.0,0.0022886885410853086,1.8215936181521584,0.015714285714285715
abccareerline.com,2025-01-08,0.016,MEDIUM,1.0,1.0,,1.0,-0.05882352941176472,0.0016035674514745335,1.4887543274124393,0.01628571428571429
abccareerline.com,2025-01-09,0.016,MEDIUM,1.0,1.0,,1.0,0.0,0.0016035674514745335,1.3790464897030579,0.016285714285714285
abccareerline.com,2025-01-10,0.012,MEDIUM,1.0,1.0,,1.0,-0.25,0.0020701966780270545,0.5594364342022393,0.01542857142857143
abccareerline.com,2025-01-11,0.01,MEDIUM,1.0,1.0,,1.0,-0.16666666666666663,0.002828427124746185,0.12684466568710112,0.015000000000000001
abccareerline.com,2025-01-12,0.009,MEDIUM,1.0,1.0,,1.0,-0.10000000000000009,0.0034364987719368956,-0.10906488146467451,0.013857142857142858
abccareerline.com,2025-01-13,0.005,MEDIUM,1.0,1.0,,1.0,-0.4444444444444444,0.004450789122113494,-0.9043354415136763,0.012142857142857144
abccareerline.com,2025-01-14,0.007,MEDIUM,1.0,1.0,,1.0,0.3999999999999999,0.004231401884099631,-0.5083059225557016,0.010714285714285716
abccareerline.com,2025-01-21,0.005,MEDIUM,1.0,1.0,,1.0,-0.2857142857142857,0.003976119189552022,-0.9435093194867378,0.009142857142857144
abccareerline.com,2025-01-22,0.004,MEDIUM,1.0,1.0,,1.0,-0.19999999999999996,0.002992052966172388,-1.1214749632470464,0.0074285714285714285
abccareerline.com,2025-01-23,0.003,MEDIUM,1.0,1.0,,1.0,-0.25,0.002609506430251486,-1.3074150393320894,0.006142857142857143
abccareerline.com,2025-01-24,0.004,MEDIUM,1.0,1.0,,1.0,0.33333333333333326,0.002058663459163564,-1.090913192198866,0.005285714285714287
abccareerline.com,2025-01-25,0.007,MEDIUM,1.0,1.0,,1.0,0.75,0.0015275252316519655,-0.4973047646104499,0.005
abccareerline.com,2025-01-26,0.005,MEDIUM,1.0,1.0,,1.0,-0.2857142857142857,0.0015275252316519655,-0.8888968149095463,0.005
abccareerline.com,2025-01-27,0.005,MEDIUM,1.0,1.0,,1.0,0.0,0.0012535663410560413,-0.8888968149095463,0.004714285714285714
abccareerline.com,2025-01-28,0.004,MEDIUM,1.0,1.0,,0.999,-0.19999999999999996,0.0012724180205607278,-1.0631418051428194,0.004571428571428572
abccareerline.com,2025-01-29,0.005,MEDIUM,1.0,1.0,,1.0,0.25,0.0012535663410560413,-0.8650408476627911,0.004714285714285714
abccareerline.com,2025-01-30,0.005,MEDIUM,1.0,1.0,,1.0,0.0,0.0010000000000000286,-0.9069028795600216,0.005
abccareerline.com,2025-01-31,0.005,MEDIUM,1.0,1.0,,1.0,0.0,0.0008997354108424683,-0.8951228212522544,0.0051428571428571435
abccareerline.com,2025-02-01,0.005,MEDIUM,1.0,1.0,,1.0,0.0,0.0003779644730093041,-0.8835412617927487,0.004857142857142858
